# P5 G1 census table — the SELECT mission-choice shell landing re-pin
# (item p5-select-shell-g1, RE-EXW-SIM 7j.73; generated by
#  `cargo test --release -p bedlam-game --test mission_load_census --
#   census_print_table --ignored --nocapture` at the landing commit —
#  the machine-checked PINNED table is tests/mission_load_census.rs)
#
# The ten MP-only missions (zones B-F, missions 6-7) moved from the
# DIRECT fallback to the SELECT seam (stage_select_mission: the MP
# write pair {zone 2..6, mission 1..2} + the load-time +5, 0x4467df)
# — every row is select:clean (empty .NME, full budget, frames ok).
# No other row changed; no canonical chain moved.
#
mission | dims | load | destroy | pickup | critters | parsers | frames | summary
ZONEA-MISSION1 | 25x75 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION1 | 100x100 | host | ok | ok | refused(Chasersx10) | ok | ok | host:gaps critters refused (Chasersx10)
ZONEB-MISSION2 | 100x100 | host | ok | ok | refused(Shootersx3,Chasersx6) | ok | ok | host:gaps critters refused (Shootersx3,Chasersx6)
ZONEB-MISSION3 | 100x100 | host | ok | ok | refused(Chasersx7) | ok | ok | host:gaps critters refused (Chasersx7)
ZONEB-MISSION4 | 100x100 | host | ok | ok | refused(Shootersx1,Chasersx12) | ok | ok | host:gaps critters refused (Shootersx1,Chasersx12)
ZONEB-MISSION5 | 100x100 | host | ok | ok | refused(Shootersx1,Chasersx16) | ok | ok | host:gaps critters refused (Shootersx1,Chasersx16)
ZONEB-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEB-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEC-MISSION1 | 100x100 | host | ok | ok | refused(Shootersx1,Chasersx10) | ok | ok | host:gaps critters refused (Shootersx1,Chasersx10)
ZONEC-MISSION2 | 100x100 | host | ok | ok | refused(Chasersx13) | ok | ok | host:gaps critters refused (Chasersx13)
ZONEC-MISSION3 | 100x100 | host | ok | ok | refused(Shootersx4,Chasersx9,CloseCombatx4) | ok | ok | host:gaps critters refused (Shootersx4,Chasersx9,CloseCombatx4)
ZONEC-MISSION4 | 100x100 | host | ok | ok | refused(Chasersx15) | ok | ok | host:gaps critters refused (Chasersx15)
ZONEC-MISSION5 | 100x100 | host | ok | ok | refused(Shootersx1,Chasersx2) | ok | ok | host:gaps critters refused (Shootersx1,Chasersx2)
ZONEC-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEC-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONED-MISSION1 | 100x100 | host | ok | ok | refused(Shootersx4,Chasersx9) | ok | ok | host:gaps critters refused (Shootersx4,Chasersx9)
ZONED-MISSION2 | 100x100 | host | ok | ok | refused(Shootersx8,Chasersx7) | ok | ok | host:gaps critters refused (Shootersx8,Chasersx7)
ZONED-MISSION3 | 100x100 | host | ok | ok | refused(Shootersx8,Chasersx4) | ok | ok | host:gaps critters refused (Shootersx8,Chasersx4)
ZONED-MISSION4 | 100x100 | host | ok | ok | refused(Shootersx8,Chasersx4) | ok | ok | host:gaps critters refused (Shootersx8,Chasersx4)
ZONED-MISSION5 | 100x100 | host | ok | ok | refused(Shootersx4) | ok | ok | host:gaps critters refused (Shootersx4)
ZONED-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONED-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEE-MISSION1 | 100x100 | host | ok | ok | refused(Shootersx4,Chasersx6,CloseCombatx5,Personnelx12) | ok | ok | host:gaps critters refused (Shootersx4,Chasersx6,CloseCombatx5,Personnelx12)
ZONEE-MISSION2 | 100x100 | host | ok | ok | refused(Shootersx1,Chasersx5,CloseCombatx5,Personnelx12) | ok | ok | host:gaps critters refused (Shootersx1,Chasersx5,CloseCombatx5,Personnelx12)
ZONEE-MISSION3 | 100x100 | host | ok | ok | refused(Shootersx3,Chasersx5,CloseCombatx6,Personnelx12) | ok | ok | host:gaps critters refused (Shootersx3,Chasersx5,CloseCombatx6,Personnelx12)
ZONEE-MISSION4 | 100x100 | host | ok | ok | refused(Shootersx4,Chasersx8,CloseCombatx8,Personnelx12) | ok | ok | host:gaps critters refused (Shootersx4,Chasersx8,CloseCombatx8,Personnelx12)
ZONEE-MISSION5 | 100x100 | host | ok | ok | refused(Shootersx5,Chasersx13,CloseCombatx4,Personnelx13) | ok | ok | host:gaps critters refused (Shootersx5,Chasersx13,CloseCombatx4,Personnelx13)
ZONEE-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEE-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEF-MISSION1 | 100x100 | host | ok | ok | refused(Chasersx3,CloseCombatx4,Personnelx9) | ok | ok | host:gaps critters refused (Chasersx3,CloseCombatx4,Personnelx9)
ZONEF-MISSION2 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION3 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION4 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION5 | 100x100 | host | ok | ok | refused(Personnelx19) | ok | ok | host:gaps critters refused (Personnelx19)
ZONEF-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEF-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEG-MISSION1 | 100x25 | host | ok | ok | refused(Shootersx3,Chasersx23,CloseCombatx6,Personnelx9) | ok | ok | host:gaps critters refused (Shootersx3,Chasersx23,CloseCombatx6,Personnelx9)
