# P5 G2 census table — the BallisticState6 landing re-pin
# (item p5-critter-state-g2-ballistic6, D182; generated by
#  `cargo test --release -p bedlam-game --test mission_load_census --
#   census_print_table --ignored --nocapture` at the landing commit —
#  the machine-checked PINNED table is tests/mission_load_census.rs)
#
# The BallisticState6xNN refusal component DROPPED from all 26
# hosting rows (kind 6 staged through the shared k5/6 body, 7j.72);
# NO row flipped clean — every host still carries
# Shooters/Chasers/CloseCombat/Personnel. ZONEA-MISSION1 stays the
# sole clean row (S3+S4 only).
#
ZONEA-MISSION1 | 25x75 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION1 | 100x100 | host | ok | ok | refused(Chasersx10) | ok | ok | host:gaps critters refused (Chasersx10)
ZONEB-MISSION2 | 100x100 | host | ok | ok | refused(Shootersx3,Chasersx6) | ok | ok | host:gaps critters refused (Shootersx3,Chasersx6)
ZONEB-MISSION3 | 100x100 | host | ok | ok | refused(Chasersx7) | ok | ok | host:gaps critters refused (Chasersx7)
ZONEB-MISSION4 | 100x100 | host | ok | ok | refused(Shootersx1,Chasersx12) | ok | ok | host:gaps critters refused (Shootersx1,Chasersx12)
ZONEB-MISSION5 | 100x100 | host | ok | ok | refused(Shootersx1,Chasersx16) | ok | ok | host:gaps critters refused (Shootersx1,Chasersx16)
ZONEB-MISSION6 | 100x100 | direct | ok | ok | ok | ok | ok | direct:gaps episode-slot seam cannot stage it (FULL_MASK=15: four sub-slots per stage, B2 @0x81d9a; the SELECT mission-choice shell is unmodeled) — staged directly
ZONEB-MISSION7 | 100x100 | direct | ok | ok | ok | ok | ok | direct:gaps episode-slot seam cannot stage it (FULL_MASK=15: four sub-slots per stage, B2 @0x81d9a; the SELECT mission-choice shell is unmodeled) — staged directly
ZONEC-MISSION1 | 100x100 | host | ok | ok | refused(Shootersx1,Chasersx10) | ok | ok | host:gaps critters refused (Shootersx1,Chasersx10)
ZONEC-MISSION2 | 100x100 | host | ok | ok | refused(Chasersx13) | ok | ok | host:gaps critters refused (Chasersx13)
ZONEC-MISSION3 | 100x100 | host | ok | ok | refused(Shootersx4,Chasersx9,CloseCombatx4) | ok | ok | host:gaps critters refused (Shootersx4,Chasersx9,CloseCombatx4)
ZONEC-MISSION4 | 100x100 | host | ok | ok | refused(Chasersx15) | ok | ok | host:gaps critters refused (Chasersx15)
ZONEC-MISSION5 | 100x100 | host | ok | ok | refused(Shootersx1,Chasersx2) | ok | ok | host:gaps critters refused (Shootersx1,Chasersx2)
ZONEC-MISSION6 | 100x100 | direct | ok | ok | ok | ok | ok | direct:gaps episode-slot seam cannot stage it (FULL_MASK=15: four sub-slots per stage, B2 @0x81d9a; the SELECT mission-choice shell is unmodeled) — staged directly
ZONEC-MISSION7 | 100x100 | direct | ok | ok | ok | ok | ok | direct:gaps episode-slot seam cannot stage it (FULL_MASK=15: four sub-slots per stage, B2 @0x81d9a; the SELECT mission-choice shell is unmodeled) — staged directly
ZONED-MISSION1 | 100x100 | host | ok | ok | refused(Shootersx4,Chasersx9) | ok | ok | host:gaps critters refused (Shootersx4,Chasersx9)
ZONED-MISSION2 | 100x100 | host | ok | ok | refused(Shootersx8,Chasersx7) | ok | ok | host:gaps critters refused (Shootersx8,Chasersx7)
ZONED-MISSION3 | 100x100 | host | ok | ok | refused(Shootersx8,Chasersx4) | ok | ok | host:gaps critters refused (Shootersx8,Chasersx4)
ZONED-MISSION4 | 100x100 | host | ok | ok | refused(Shootersx8,Chasersx4) | ok | ok | host:gaps critters refused (Shootersx8,Chasersx4)
ZONED-MISSION5 | 100x100 | host | ok | ok | refused(Shootersx4) | ok | ok | host:gaps critters refused (Shootersx4)
ZONED-MISSION6 | 100x100 | direct | ok | ok | ok | ok | ok | direct:gaps episode-slot seam cannot stage it (FULL_MASK=15: four sub-slots per stage, B2 @0x81d9a; the SELECT mission-choice shell is unmodeled) — staged directly
ZONED-MISSION7 | 100x100 | direct | ok | ok | ok | ok | ok | direct:gaps episode-slot seam cannot stage it (FULL_MASK=15: four sub-slots per stage, B2 @0x81d9a; the SELECT mission-choice shell is unmodeled) — staged directly
ZONEE-MISSION1 | 100x100 | host | ok | ok | refused(Shootersx4,Chasersx6,CloseCombatx5,Personnelx12) | ok | ok | host:gaps critters refused (Shootersx4,Chasersx6,CloseCombatx5,Personnelx12)
ZONEE-MISSION2 | 100x100 | host | ok | ok | refused(Shootersx1,Chasersx5,CloseCombatx5,Personnelx12) | ok | ok | host:gaps critters refused (Shootersx1,Chasersx5,CloseCombatx5,Personnelx12)
ZONEE-MISSION3 | 100x100 | host | ok | ok | refused(Shootersx3,Chasersx5,CloseCombatx6,Personnelx12) | ok | ok | host:gaps critters refused (Shootersx3,Chasersx5,CloseCombatx6,Personnelx12)
ZONEE-MISSION4 | 100x100 | host | ok | ok | refused(Shootersx4,Chasersx8,CloseCombatx8,Personnelx12) | ok | ok | host:gaps critters refused (Shootersx4,Chasersx8,CloseCombatx8,Personnelx12)
ZONEE-MISSION5 | 100x100 | host | ok | ok | refused(Shootersx5,Chasersx13,CloseCombatx4,Personnelx13) | ok | ok | host:gaps critters refused (Shootersx5,Chasersx13,CloseCombatx4,Personnelx13)
ZONEE-MISSION6 | 100x100 | direct | ok | ok | ok | ok | ok | direct:gaps episode-slot seam cannot stage it (FULL_MASK=15: four sub-slots per stage, B2 @0x81d9a; the SELECT mission-choice shell is unmodeled) — staged directly
ZONEE-MISSION7 | 100x100 | direct | ok | ok | ok | ok | ok | direct:gaps episode-slot seam cannot stage it (FULL_MASK=15: four sub-slots per stage, B2 @0x81d9a; the SELECT mission-choice shell is unmodeled) — staged directly
ZONEF-MISSION1 | 100x100 | host | ok | ok | refused(Chasersx3,CloseCombatx4,Personnelx9) | ok | ok | host:gaps critters refused (Chasersx3,CloseCombatx4,Personnelx9)
ZONEF-MISSION2 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION3 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION4 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION5 | 100x100 | host | ok | ok | refused(Personnelx19) | ok | ok | host:gaps critters refused (Personnelx19)
ZONEF-MISSION6 | 100x100 | direct | ok | ok | ok | ok | ok | direct:gaps episode-slot seam cannot stage it (FULL_MASK=15: four sub-slots per stage, B2 @0x81d9a; the SELECT mission-choice shell is unmodeled) — staged directly
ZONEF-MISSION7 | 100x100 | direct | ok | ok | ok | ok | ok | direct:gaps episode-slot seam cannot stage it (FULL_MASK=15: four sub-slots per stage, B2 @0x81d9a; the SELECT mission-choice shell is unmodeled) — staged directly
ZONEG-MISSION1 | 100x25 | host | ok | ok | refused(Shootersx3,Chasersx23,CloseCombatx6,Personnelx9) | ok | ok | host:gaps critters refused (Shootersx3,Chasersx23,CloseCombatx6,Personnelx9)
