# P5 G2 CloseCombat census re-pin — the S7/kind-7 landing (7j.76, D189)
# provenance: cargo test --release -p bedlam-game --test mission_load_census -- census_print_table --ignored --nocapture
# (worker 7c028ff1, item p5-critter-state-g2-closecombat, commit after 0ab42a3)
#
# The CloseCombatxNN component dropped from all 8 hosting rows AND
# ZONEC-MISSION3 FLIPPED CLEAN — the one CloseCombat-ONLY host (no
# Personnel component): the queue's "every CloseCombat host also
# carries Personnel today, so the expectation should HOLD" was wrong
# for this single row, documented + deliberate (the D185 ZONED-M5 /
# D187 twelve-row precedent). 25/37 load clean (was 24). G2 residue =
# the S8 personnel/POI bank alone (12 missions).
#
ZONEA-MISSION1 | 25x75 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION1 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION2 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION3 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION4 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION5 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEB-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEC-MISSION1 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEC-MISSION2 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEC-MISSION3 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEC-MISSION4 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEC-MISSION5 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEC-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEC-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONED-MISSION1 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION2 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION3 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION4 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION5 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONED-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEE-MISSION1 | 100x100 | host | ok | ok | refused(Personnelx12) | ok | ok | host:gaps critters refused (Personnelx12)
ZONEE-MISSION2 | 100x100 | host | ok | ok | refused(Personnelx12) | ok | ok | host:gaps critters refused (Personnelx12)
ZONEE-MISSION3 | 100x100 | host | ok | ok | refused(Personnelx12) | ok | ok | host:gaps critters refused (Personnelx12)
ZONEE-MISSION4 | 100x100 | host | ok | ok | refused(Personnelx12) | ok | ok | host:gaps critters refused (Personnelx12)
ZONEE-MISSION5 | 100x100 | host | ok | ok | refused(Personnelx13) | ok | ok | host:gaps critters refused (Personnelx13)
ZONEE-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEE-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEF-MISSION1 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION2 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION3 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION4 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION5 | 100x100 | host | ok | ok | refused(Personnelx19) | ok | ok | host:gaps critters refused (Personnelx19)
ZONEF-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEF-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEG-MISSION1 | 100x25 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
