# P5 G2 PERSONNEL/POI census re-pin — the S8 landing (7j.77, D191)
# provenance: cargo test --release -p bedlam-game --test mission_load_census -- census_print_table --ignored --nocapture
# (worker 0ecf083b, item p5-personnel-poi-s8, commit after the poi.rs engine commit)
#
# The PersonnelxNN component dropped from all 11 hosting rows (ZONEE
# M1-5 x12/x12/x12/x12/x13, ZONEF M1-5 x9/x9/x9/x9/x19, ZONEG M1 x9)
# and EVERY ONE FLIPPED CLEAN — CloseCombat had already landed (D189),
# so Personnel was each row's last unmodeled section. The ALL-37
# load-clean census: 37/37, G2 EMPTY. The queue prose's "13 missions"
# was an arithmetic slip (5+5+1 = 11; the corpus census §7j.77/6).
# ZONEA/MISSION1 hosts no S8 section → NO canonical chain moved.
#
ZONEA-MISSION1 | 25x75 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION1 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION2 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION3 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION4 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION5 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEB-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEC-MISSION1 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEC-MISSION2 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEC-MISSION3 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEC-MISSION4 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEC-MISSION5 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEC-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEC-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONED-MISSION1 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION2 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION3 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION4 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION5 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONED-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEE-MISSION1 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEE-MISSION2 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEE-MISSION3 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEE-MISSION4 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEE-MISSION5 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEE-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEE-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEF-MISSION1 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEF-MISSION2 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEF-MISSION3 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEF-MISSION4 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEF-MISSION5 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONEF-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEF-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEG-MISSION1 | 100x25 | host | ok | ok | ok | ok | ok | host:clean
