# P5 G2 census table — the Shooters landing re-pin
# (item p5-critter-state-g2-shooters, D185; generated by
#  `cargo test --release -p bedlam-game --test mission_load_census --
#   census_print_table --ignored --nocapture` at the landing commit —
#  the machine-checked PINNED table is tests/mission_load_census.rs)
#
# The ShootersxNN refusal component DROPPED from all 17 hosting
# rows (kind 2 staged through the new sine-walk shooter body,
# 7j.74), and ZONED-MISSION5 FLIPPED CLEAN — its ONLY unmodeled
# section was Shootersx4 (the queue's "no row flips clean" note is
# falsified by that row; documented + deliberate). Every other
# host still carries Chasers/CloseCombat/Personnel. ZONEA-MISSION1
# stays clean (S3+S4 only); the ten MP missions stay select:clean.
#
ZONEA-MISSION1 | 25x75 | host | ok | ok | ok | ok | ok | host:clean
ZONEB-MISSION1 | 100x100 | host | ok | ok | refused(Chasersx10) | ok | ok | host:gaps critters refused (Chasersx10)
ZONEB-MISSION2 | 100x100 | host | ok | ok | refused(Chasersx6) | ok | ok | host:gaps critters refused (Chasersx6)
ZONEB-MISSION3 | 100x100 | host | ok | ok | refused(Chasersx7) | ok | ok | host:gaps critters refused (Chasersx7)
ZONEB-MISSION4 | 100x100 | host | ok | ok | refused(Chasersx12) | ok | ok | host:gaps critters refused (Chasersx12)
ZONEB-MISSION5 | 100x100 | host | ok | ok | refused(Chasersx16) | ok | ok | host:gaps critters refused (Chasersx16)
ZONEB-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEB-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEC-MISSION1 | 100x100 | host | ok | ok | refused(Chasersx10) | ok | ok | host:gaps critters refused (Chasersx10)
ZONEC-MISSION2 | 100x100 | host | ok | ok | refused(Chasersx13) | ok | ok | host:gaps critters refused (Chasersx13)
ZONEC-MISSION3 | 100x100 | host | ok | ok | refused(Chasersx9,CloseCombatx4) | ok | ok | host:gaps critters refused (Chasersx9,CloseCombatx4)
ZONEC-MISSION4 | 100x100 | host | ok | ok | refused(Chasersx15) | ok | ok | host:gaps critters refused (Chasersx15)
ZONEC-MISSION5 | 100x100 | host | ok | ok | refused(Chasersx2) | ok | ok | host:gaps critters refused (Chasersx2)
ZONEC-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEC-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONED-MISSION1 | 100x100 | host | ok | ok | refused(Chasersx9) | ok | ok | host:gaps critters refused (Chasersx9)
ZONED-MISSION2 | 100x100 | host | ok | ok | refused(Chasersx7) | ok | ok | host:gaps critters refused (Chasersx7)
ZONED-MISSION3 | 100x100 | host | ok | ok | refused(Chasersx4) | ok | ok | host:gaps critters refused (Chasersx4)
ZONED-MISSION4 | 100x100 | host | ok | ok | refused(Chasersx4) | ok | ok | host:gaps critters refused (Chasersx4)
ZONED-MISSION5 | 100x100 | host | ok | ok | ok | ok | ok | host:clean
ZONED-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONED-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEE-MISSION1 | 100x100 | host | ok | ok | refused(Chasersx6,CloseCombatx5,Personnelx12) | ok | ok | host:gaps critters refused (Chasersx6,CloseCombatx5,Personnelx12)
ZONEE-MISSION2 | 100x100 | host | ok | ok | refused(Chasersx5,CloseCombatx5,Personnelx12) | ok | ok | host:gaps critters refused (Chasersx5,CloseCombatx5,Personnelx12)
ZONEE-MISSION3 | 100x100 | host | ok | ok | refused(Chasersx5,CloseCombatx6,Personnelx12) | ok | ok | host:gaps critters refused (Chasersx5,CloseCombatx6,Personnelx12)
ZONEE-MISSION4 | 100x100 | host | ok | ok | refused(Chasersx8,CloseCombatx8,Personnelx12) | ok | ok | host:gaps critters refused (Chasersx8,CloseCombatx8,Personnelx12)
ZONEE-MISSION5 | 100x100 | host | ok | ok | refused(Chasersx13,CloseCombatx4,Personnelx13) | ok | ok | host:gaps critters refused (Chasersx13,CloseCombatx4,Personnelx13)
ZONEE-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEE-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEF-MISSION1 | 100x100 | host | ok | ok | refused(Chasersx3,CloseCombatx4,Personnelx9) | ok | ok | host:gaps critters refused (Chasersx3,CloseCombatx4,Personnelx9)
ZONEF-MISSION2 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION3 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION4 | 100x100 | host | ok | ok | refused(Personnelx9) | ok | ok | host:gaps critters refused (Personnelx9)
ZONEF-MISSION5 | 100x100 | host | ok | ok | refused(Personnelx19) | ok | ok | host:gaps critters refused (Personnelx19)
ZONEF-MISSION6 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEF-MISSION7 | 100x100 | select | ok | ok | ok | ok | ok | select:clean
ZONEG-MISSION1 | 100x25 | host | ok | ok | refused(Chasersx23,CloseCombatx6,Personnelx9) | ok | ok | host:gaps critters refused (Chasersx23,CloseCombatx6,Personnelx9)
